gradeId,artist,title,hasChords,hasTabs,url,youtubeViews,youtubeDuration,originalArtist
5,Ed Sheeran,Shape Of You [LOOPER],yes,False,https://justinguitar.com/songs/ed-sheeran-shape-of-you-looper-chords-tabs-guitar-lesson-sg-005,59368,20:07,Ed Sheeran
2,Ed Sheeran,Sing,yes,True,https://justinguitar.com/songs/ed-sheeran-sing-chords-tabs-guitar-lesson-sg-031,64817,07:48,Ed Sheeran
3,Ed Sheeran,Thinking Out Loud,yes,True,https://justinguitar.com/songs/ed-sheeran-thinking-out-loud-chords-tabs-guitar-lesson-bs-822,2169613,15:04,Ed Sheeran
4,Ed Sheeran,Bad Habits,yes,False,https://justinguitar.com/songs/ed-sheeran-bad-habits-chords-tabs-guitar-lesson-sg-093,23218,22:45,Ed Sheeran
3,The Beatles,Let It Be,yes,True,https://justinguitar.com/songs/the-beatles-let-it-be-chords-tabs-guitar-lesson-bs-910,634393,07:03,The Beatles
3,The Beatles,Hey Jude,yes,True,https://justinguitar.com/songs/the-beatles-hey-jude-chords-tabs-guitar-lesson-st-384,564834,11:23,The Beatles
6,The Beatles,Yesterday [3/3],yes,True,https://justinguitar.com/songs/the-beatles-yesterday-3-3-chords-tabs-guitar-lesson-st-2003,266110,08:37,The Beatles
6,The Beatles,Blackbird,yes,True,https://justinguitar.com/songs/the-beatles-blackbird-chords-tabs-guitar-lesson-sb-113,1509512,15:39,The Beatles
6,The Beatles,From Me To You,yes,True,https://justinguitar.com/songs/the-beatles-from-me-to-you-chords-tabs-guitar-lesson-st-816,79630,14:42,The Beatles
5,The Beatles,Lucy In The Sky With Diamonds,yes,True,https://justinguitar.com/songs/the-beatles-lucy-in-the-sky-with-diamonds-chords-tabs-guitar-lesson-sb-409,365459,14:01,The Beatles
3,The Beatles,You've Got To Hide Your Love Away,yes,True,https://justinguitar.com/songs/the-beatles-you-ve-got-to-hide-your-love-away-chords-tabs-guitar-lesson-sb-403,465766,12:42,The Beatles
5,The Beatles,Here Comes The Sun,yes,True,https://justinguitar.com/songs/the-beatles-here-comes-the-sun-chords-tabs-guitar-lesson-sg-090,172509,34:58,The Beatles
4,The Beatles,Day Tripper,yes,True,https://justinguitar.com/songs/the-beatles-day-tripper-chords-tabs-guitar-lesson-sb-225,752536,13:38,The Beatles
5,The Beatles,"Here, There And Everywhere",yes,True,https://justinguitar.com/songs/the-beatles-here-there-and-everywhere-chords-tabs-guitar-lesson-sb-127,197457,11:59,The Beatles
2,The Beatles,Rocky Raccoon,yes,True,https://justinguitar.com/songs/the-beatles-rocky-raccoon-chords-tabs-guitar-lesson-sb-103,296526,07:01,The Beatles
2,The Beatles,I Want to Hold your Hand,yes,True,https://justinguitar.com/songs/the-beatles-i-want-to-hold-your-hand-chords-tabs-guitar-lesson-bs-410,695167,10:43,The Beatles
4,The Beatles,While My Guitar Gently Weeps [Dm],yes,False,https://justinguitar.com/songs/the-beatles-while-my-guitar-gently-weeps-dm-chords-tabs-guitar-lesson-st-422,190444,14:44,The Beatles
6,The Beatles,Yesterday [1/3],yes,True,https://justinguitar.com/songs/the-beatles-yesterday-1-3-chords-tabs-guitar-lesson-st-200,1084232,09:42,The Beatles
5,The Beatles,With a Little Help From My Friends,yes,True,https://justinguitar.com/songs/the-beatles-with-a-little-help-from-my-friends-chords-tabs-guitar-lesson-st-605,375301,04:51,The Beatles
6,The Beatles,Yesterday [2/3],yes,True,https://justinguitar.com/songs/the-beatles-yesterday-2-3-chords-tabs-guitar-lesson-st-2002,204106,09:59,The Beatles
5,The Beatles,I Feel Fine,yes,True,https://justinguitar.com/songs/the-beatles-i-feel-fine-chords-tabs-guitar-lesson-rf-009,511875,04:55,The Beatles
4,The Beatles,In My Life,yes,True,https://justinguitar.com/songs/the-beatles-in-my-life-chords-tabs-guitar-lesson-sb-406,740283,11:34,The Beatles
6,The Beatles,Eight Days A Week,yes,True,https://justinguitar.com/songs/the-beatles-eight-days-a-week-chords-tabs-guitar-lesson-st-817,148171,12:20,The Beatles
1,The Beatles,Yellow Submarine,yes,True,https://justinguitar.com/songs/the-beatles-yellow-submarine-chords-tabs-guitar-lesson-bs-305,543153,05:15,The Beatles
3,The Beatles,Norwegian Wood (This Bird Has Flown) ,yes,True,https://justinguitar.com/songs/the-beatles-norwegian-wood-this-bird-has-flown-chords-tabs-guitar-lesson-sb-116,1300376,14:49,The Beatles
1,The Beatles,Love Me Do,yes,True,https://justinguitar.com/songs/the-beatles-love-me-do-chords-tabs-guitar-lesson-bs-108,1317793,03:30,The Beatles
3,The Beatles,While My Guitar Gently Weeps [Am],yes,True,https://justinguitar.com/songs/the-beatles-while-my-guitar-gently-weeps-am-chords-tabs-guitar-lesson-st-424,193391,14:16,The Beatles
1,The Beatles,Twist And Shout,yes,True,https://justinguitar.com/songs/the-beatles-twist-and-shout-chords-tabs-guitar-lesson-bs-207,1256900,09:55,The Beatles
3,The Beatles,All You Need Is Love,yes,True,https://justinguitar.com/songs/the-beatles-all-you-need-is-love-chords-tabs-guitar-lesson-bs-926,219458,14:39,The Beatles
2,The Beatles,Eleanor Rigby,yes,True,https://justinguitar.com/songs/the-beatles-eleanor-rigby-chords-tabs-guitar-lesson-sg-022,72167,18:39,The Beatles
5,Pink Floyd,Breathe In The Air (Acoustic Guitar),yes,False,https://justinguitar.com/songs/pink-floyd-breathe-in-the-air-acoustic-guitar-chords-tabs-guitar-lesson-sg-019,327647,14:27,Pink Floyd
5,Pink Floyd,Comfortably Numb [2/4],yes,True,https://justinguitar.com/songs/pink-floyd-comfortably-numb-2-4-chords-tabs-guitar-lesson-st-3212,480672,09:58,Pink Floyd
1,Pink Floyd,Wish You Were Here [4/4],yes,True,https://justinguitar.com/songs/pink-floyd-wish-you-were-here-4-4-chords-tabs-guitar-lesson-st-3014,618036,04:57,Pink Floyd
1,Pink Floyd,Wish You Were Here [1/4],yes,True,https://justinguitar.com/songs/pink-floyd-wish-you-were-here-1-4-chords-tabs-guitar-lesson-st-301,3916948,09:55,Pink Floyd
4,Pink Floyd,Wish You Were Here [3/4],yes,True,https://justinguitar.com/songs/pink-floyd-wish-you-were-here-3-4-chords-tabs-guitar-lesson-st-3013,997222,09:46,Pink Floyd
5,Pink Floyd,Comfortably Numb [3/4],yes,True,https://justinguitar.com/songs/pink-floyd-comfortably-numb-3-4-chords-tabs-guitar-lesson-st-3213,211166,09:57,Pink Floyd
4,Pink Floyd,Money,yes,True,https://justinguitar.com/songs/pink-floyd-money-chords-tabs-guitar-lesson-rf-011,500040,07:10,Pink Floyd
1,Pink Floyd,Wish You Were Here [2/4],yes,True,https://justinguitar.com/songs/pink-floyd-wish-you-were-here-2-4-chords-tabs-guitar-lesson-st-3012,1160590,09:30,Pink Floyd
5,Pink Floyd,Comfortably Numb [1/4],yes,True,https://justinguitar.com/songs/pink-floyd-comfortably-numb-1-4-chords-tabs-guitar-lesson-st-321,782754,08:45,Pink Floyd
5,Pink Floyd,Comfortably Numb [4/4],yes,True,https://justinguitar.com/songs/pink-floyd-comfortably-numb-4-4-chords-tabs-guitar-lesson-st-3214,386822,09:23,Pink Floyd
4,Pink Floyd,Breathe In The Air (Electric Guitar),yes,True,https://justinguitar.com/songs/pink-floyd-breathe-in-the-air-electric-guitar-chords-tabs-guitar-lesson-sg-006,136790,20:29,Pink Floyd
4,Red Hot Chili Peppers,Californication [SOLO],yes,True,https://justinguitar.com/songs/red-hot-chili-peppers-californication-solo-chords-tabs-guitar-lesson-cs-008,471946,10:35,Red Hot Chili Peppers
4,Red Hot Chili Peppers,Californication,yes,True,https://justinguitar.com/songs/red-hot-chili-peppers-californication-chords-tabs-guitar-lesson-st-362,1387432,22:59,Red Hot Chili Peppers
5,Red Hot Chili Peppers,Under the Bridge [3/3],yes,True,https://justinguitar.com/songs/red-hot-chili-peppers-under-the-bridge-3-3-chords-tabs-guitar-lesson-st-3123,304377,09:51,Red Hot Chili Peppers
5,Red Hot Chili Peppers,Can't Stop [2/2],yes,True,https://justinguitar.com/songs/red-hot-chili-peppers-can-t-stop-2-2-chords-tabs-guitar-lesson-st-3062,329907,08:49,Red Hot Chili Peppers
